model,macro_f1,micro_f1,weighted_f1,samples_f1,hamming_loss,subset_accuracy
Most frequent label set,0.022107421074210744,0.18310241782124423,0.0562845698968196,0.19453455224614177,0.11823454241619974,0.18608080212326747
TF-IDF + Logistic Regression,0.7420843677155767,0.8015329230054581,0.8044680045755583,0.808572411565629,0.03359874176742357,0.663226186965497
Calibrated TF-IDF + LR,0.7561457415836929,0.8113559955173701,0.8124903690365423,0.7935859628428192,0.029784724270126805,0.694485402536125
TF-IDF + Linear SVM,0.7731768075014896,0.8264400849681369,0.8261068806246615,0.8067391273820056,0.027307578885284577,0.7198466529047478
