tactic,feature,weight,rank
defense-impairment,char__isab,2.6980852659739956,16
defense-impairment,char__isabl,2.6980852659739956,17
defense-impairment,char__log,2.6911028600826667,18
defense-impairment,char__sabl,2.6864893277149084,19
defense-impairment,char__ log,2.654359026270712,20
discovery,word__enumerate,3.969174542532122,1
discovery,word__identify,3.713258935144066,2
discovery,word__list,3.4738125370587185,3
discovery,word__time,3.238600432163557,4
discovery,word__net,3.058740164771131,5
discovery,word__the,2.9200480368007224,6
discovery,word__discover,2.9100328549562797,7
discovery,word__to discover,2.8687404628455777,8
discovery,word__search,2.818535135940452,9
discovery,word__to check,2.806926946192101,10
discovery,char__ lis,2.753004174193939,11
discovery,char__ list,2.753004174193939,12
discovery,char__enum,2.6741106002543376,13
discovery,char__erate,2.6336517045932175,14
discovery,char__enu,2.632240810670529,15
discovery,char__umera,2.5965584731877454,16
discovery,char__merat,2.5965584731877454,17
discovery,char__enume,2.5956407794973404,18
discovery,char__ enum,2.5718855429951,19
discovery,char__ enu,2.5718855429951,20
execution,word__wmi,4.719117715854794,1
execution,word__api,4.04324800687945,2
execution,word__cmd,3.9907678548842815,3
execution,word__wmi to,3.5154624015772242,4
execution,word__shell,3.497933939675673,5
execution,char__wmi,3.2200901068682533,6
execution,word__vbs,3.134145796156382,7
execution,word__used powershell,3.057659393562963,8
execution,word__can use,3.008547683219376,9
execution,word__python,2.995489978440517,10
execution,word__cmd exe,2.9611078744808577,11
execution,word__command line,2.9168835647707385,12
execution,word__side,2.7453940246076867,13
execution,word__line,2.736079668915112,14
execution,word__wmic,2.722207017377994,15
execution,word__load,2.668059570092429,16
execution,word__use,2.6478140640336365,17
execution,char__ wmi,2.641262714178629,18
execution,word__javascript,2.6305697694157444,19
execution,char__ wm,2.624074376929686,20
exfiltration,word__data,4.643640687642676,1
exfiltration,word__c2,4.273621943301707,2
exfiltration,word__exfiltrate,3.79495678085427,3
exfiltration,word__has exfiltrated,3.6698290403660687,4
exfiltration,char__trate,3.63497291555299,5
exfiltration,word__exfiltrated,3.4069104412211333,6
exfiltration,char__iltra,3.0871837678553353,7
exfiltration,char__iltr,3.0871837678553353,8
exfiltration,char__ltrat,3.085099122085042,9
exfiltration,char__ltra,3.074206472112338,10
exfiltration,char__ltr,3.074206472112338,11
exfiltration,char__xfi,3.0396149330024267,12
exfiltration,char__exfi,3.0396149330024267,13
exfiltration,char__ exfi,3.0396149330024267,14
exfiltration,char__ exf,3.037575587186475,15
exfiltration,char__exf,3.037575587186475,16
exfiltration,char__xfilt,2.9509129122765376,17
exfiltration,char__filtr,2.9509129122765376,18
exfiltration,char__ilt,2.9301739440452774,19
exfiltration,char__xfil,2.9095285898198426,20
impact,word__ransom,3.8641983072995365,1
impact,word__cryptocurrency,3.3316116189934846,2
impact,word__stop,3.253695541690376,3
impact,word__shutdown,2.768909867760599,4
impact,word__denial of,2.590363859577786,5
impact,word__denial,2.590363859577786,6
impact,word__of service,2.369990190693864,7
impact,word__to stop,2.3443928964354015,8
impact,char__wip,2.3067682228165767,9
impact,word__encrypt,2.2882141399368865,10
impact,word__wipe,2.239213459118761,11
impact,char__cry,2.2214023066146353,12
impact,word__services,2.162958819107436,13
impact,char__ypt,2.145575723199364,14
impact,char__crypt,2.145575723199364,15
impact,char__cryp,2.145575723199364,16
impact,char__rypt,2.145575723199364,17
impact,char__ryp,2.139450729293455,18
impact,word__shadow,2.1388701938894337,19
impact,word__overwrite,2.124302626013243,20
initial-access,word__credentials to,3.7963025305591653,1
initial-access,word__access,3.6871948709123745,2
initial-access,word__valid,3.5357463535098494,3
initial-access,word__spread,3.222855486781692,4
initial-access,word__credentials,3.2033937681246387,5
initial-access,word__emails,3.141249857705785,6
initial-access,word__deliver,3.0411637198848247,7
initial-access,word__to deliver,2.975302099753067,8
initial-access,word__watering,2.87028087623899,9
initial-access,word__distributed,2.786375386859681,10
initial-access,word__has sent,2.7165356882030034,11
initial-access,word__initial,2.682175010357471,12
initial-access,word__usb,2.668323846976834,13
initial-access,word__been delivered,2.5254892491196412,14
initial-access,word__sent,2.4800652158634104,15
initial-access,word__initial access,2.476045202421137,16
initial-access,word__used compromised,2.4545361610648926,17
initial-access,word__access to,2.445794414681567,18
initial-access,char__ls ,2.423597693896519,19
initial-access,word__emails with,2.4231615469545997,20
lateral-movement,word__smb,5.1394668973691715,1
lateral-movement,word__rdp,5.0723564724026104,2
lateral-movement,word__ssh,3.6338497238085017,3
lateral-movement,word__hash,3.541602974072646,4
lateral-movement,word__copy,3.079337110859652,5
lateral-movement,char__smb,3.0638852833645127,6
lateral-movement,word__winrm,3.055093211034626,7
lateral-movement,char__ smb,2.988229616828718,8
lateral-movement,word__laterally,2.945740031305063,9
lateral-movement,word__pass the,2.912427365748413,10
lateral-movement,word__the hash,2.8734566388066756,11
lateral-movement,word__to copy,2.864300361774549,12
lateral-movement,word__vnc,2.80733961591628,13
lateral-movement,word__spread,2.7736365496824984,14
lateral-movement,word__remote,2.7651181365554236,15
lateral-movement,word__pass,2.640645574560411,16
lateral-movement,word__share,2.5703821340747854,17
lateral-movement,word__usb,2.458860596602799,18
lateral-movement,word__network share,2.436083140729816,19
lateral-movement,char__ sm,2.4291316547442574,20
persistence,word__persistence,4.356248496296046,1
persistence,word__registry,4.324510842090268,2
persistence,word__credentials to,3.2897011844274022,3
persistence,word__bits,3.06641777585278,4
persistence,word__startup,2.997044997488549,5
persistence,char__ist,2.9671444898836357,6
persistence,word__web,2.9168107726613277,7
persistence,char__sist,2.8973873238074526,8
persistence,char__rsist,2.824303539792844,9
persistence,char__ersis,2.824303539792844,10
persistence,char__rsis,2.824303539792844,11
persistence,char__persi,2.8103485296715247,12
persistence,word__added,2.681600256603647,13
persistence,char__sis,2.6708027650301194,14
persistence,char__ pers,2.6492180451958736,15
persistence,word__web shells,2.5897337242523792,16
persistence,word__used compromised,2.4933822771337057,17
persistence,word__shells,2.4139391519952382,18
persistence,word__modify,2.4015589737703804,19
persistence,char__ per,2.3910230371265064,20
privilege-escalation,word__uac,4.495956592599608,1
privilege-escalation,word__persistence,3.76930953836738,2
privilege-escalation,word__used compromised,3.6829144407612335,3
privilege-escalation,word__credentials to,3.6541992299305686,4
