lower,upper,mean_confidence,observed_frequency,count
0.0,0.1,0.007276423877420387,0.008186411880226837,45319
0.1,0.2,0.14010092125956472,0.1765295887662989,997
0.2,0.30000000000000004,0.24511224980679497,0.2761061946902655,565
0.30000000000000004,0.4,0.3469375899777752,0.3620253164556962,395
0.4,0.5,0.4505841016752747,0.4967105263157895,304
0.5,0.6,0.5490101906037316,0.528169014084507,284
0.6000000000000001,0.7000000000000001,0.6496918730768841,0.6366459627329193,322
0.7000000000000001,0.8,0.7500160243714403,0.7112299465240641,374
0.8,0.9,0.8536186537412469,0.8210290827740492,447
0.9,1.0,0.973989236877194,0.9421992481203008,2128
