threshold,coverage,accepted_samples,macro_f1,micro_f1,samples_f1,subset_accuracy
0.4,0.9003243880861103,3053,0.7904249677517451,0.8437956204379562,0.8573495234975747,0.7451686865378316
0.5,0.8675906812149808,2942,0.8004928381266759,0.8538894224173412,0.8703789129519925,0.7579877634262406
0.6,0.8268947213211442,2804,0.8097594679386505,0.8651282786297836,0.8846010800896679,0.7735378031383737
0.7,0.780005897965202,2645,0.8219958595600064,0.8775820170109356,0.8970339364479251,0.7901701323251418
0.8,0.7083456207608375,2402,0.8338549635157321,0.891158740790355,0.9099728400935728,0.8105745212323064
0.9,0.5942199941020347,2015,0.8508314744849984,0.9128,0.9280940564811534,0.8441687344913151
